symbol
AAPL
MSFT
AMZN
GOOGL
GOOG
META
NVDA
BRK.B
JPM
V
MA
UNH
XOM
CVX
LLY
AVGO
COST
WMT
PG
HD
KO
PEP
MRK
ABBV
ORCL
CRM
ADBE
NFLX
INTC
AMD
QCOM
TXN
AMAT
MU
CSCO
IBM
NOW
INTU
ISRG
CAT
DE
BA
GE
HON
UPS
FDX
LMT
NOC
RTX
GD
MMM
NEE
DUK
SO
AEP
EXC
SRE
D
AIG
AXP
BAC
WFC
C
GS
MS
SCHW
BLK
SPGI
ICE
CME
BKNG
ABNB
UBER
LYFT
TSLA
F
GM
RIVN
LCID
PFE
TMO
DHR
AMGN
GILD
REGN
VRTX
BMY
ZTS
CI
HUM
ELV
CVS
MDT
SYK
BSX
EW
ETN
EMR
ROP
TT
ITW
CSX
NSC
UNP
DAL
AAL
UAL
MAR
HLT
MCD
SBUX
NKE
LULU
TGT
LOW
TJX
ROST
DIS
CMCSA
T
VZ
TMUS
CHTR
SNOW
PLTR
CRWD
PANW
FTNT
ZS
DDOG
MDB
NET
SHOP
SQ
PYPL
ADSK
TEAM
OKTA
ANET
MRNA
BIIB
NVO
TSM
ASML
LIN
APD
ECL
SHW
COP
SLB
OXY
MPC
VLO
PSX
KMI
WMB
OKE
GIS
KHC
MDLZ
PM
MO
CL
KMB
JNJ
WBA
KR
C

